seed,zone,lod,triangles,wood_components,wood_boundary_edges,wood_nonmanifold,crown_components,crown_wood_contacts_min,max_tip_to_crown_surface,root_min_y_delta,source_matrix_error,palette_error,sha256
1229,master-stones,0,3600,1,0,0,6,12,0.10143066197633743,0.006920337677001953,5.912780762784564e-07,3.052039454498612e-09,5b40f49c20335f6c77d787eaa9f4435dba53484169e6f952fb132e678a6b9b5e
1229,master-stones,1,2230,1,0,0,6,12,0.0983588844537735,0.006920337677001953,5.912780762784564e-07,3.052039454498612e-09,ed26e8645ccf9254a5fca1e542cb0999268440364317e6f93c2c7f3101056baf
1229,master-stones,2,1222,1,0,0,6,6,0.0869179219007492,0.006920337677001953,5.912780762784564e-07,3.052039454498612e-09,b167da84962a58893e41ef0fca16781374470d0233c15637f680ca141558958e
1238,master-stones,0,3596,1,0,0,6,10,0.0953795537352562,0.010020747780799866,5.912780762784564e-07,3.052039454498612e-09,6f4df77ba63c877ef27ca12922f522d81e12c81b60d4efe13f42f02ad94b4939
1238,master-stones,1,2228,1,0,0,6,10,0.09537654370069504,0.010020747780799866,5.912780762784564e-07,3.052039454498612e-09,00d4717c36b0d14882cb4ce12bce3396e96b5d59a764a258ac6cd51fad09c6a8
1238,master-stones,2,1220,1,0,0,6,6,0.08749198913574219,0.009090736508369446,5.912780762784564e-07,3.052039454498612e-09,44aaaae07c47dc13d36d8ecde51a3d8dd0af522816620d6a71b5b64a41fe2fab
1247,master-stones,0,3596,1,0,0,6,11,0.09862171858549118,0.01172955334186554,7.247924802555872e-07,3.052039454498612e-09,1d964261de796dcf4c3d32289bdc945cf2395fe881db18379a8434f23a791bb5
1247,master-stones,1,2228,1,0,0,6,11,0.09211653470993042,0.01172955334186554,7.247924802555872e-07,3.052039454498612e-09,60ba49a8c7a7ca94dbb391964524928bfb91b2bc17a9336c96bdd84733d4c895
1247,master-stones,2,1220,1,0,0,6,6,0.09365446865558624,0.011239558458328247,7.247924802555872e-07,3.052039454498612e-09,7373b5a4f8cc496585ada2ab293e80e930146f07d9b085a6fdeee57215dc63f1
1256,master-stones,0,3600,1,0,0,7,11,0.09843810647726059,0.010656580328941345,5.912780762784564e-07,3.052039454498612e-09,2b3bf80658ab597fbb43d2509c83cd9fa24bc053e29c86296a0e78d71712fd25
1256,master-stones,1,2230,1,0,0,7,9,0.09572825580835342,0.010106593370437622,5.912780762784564e-07,3.052039454498612e-09,cb4972b8fefb30f0548a232c657047ab5ea2eaf85102d5bbb73bc612416a1dc8
1256,master-stones,2,1222,1,0,0,7,6,0.0885469913482666,0.006816580891609192,5.912780762784564e-07,3.052039454498612e-09,b3899fca294d512b95cf6d3dcfaff4cd3552304d641820f46b400fe16560b9c5
1401,dry-cascade,0,3600,1,0,0,6,9,0.10746259987354279,0.00898607075214386,7.247924802555872e-07,3.052039454498612e-09,67f513c092b9ed1a3da737f4e0bb21fe2c37e7eb1d02ce5cc3758e44f729f7dc
1401,dry-cascade,1,2230,1,0,0,6,9,0.10772380977869034,0.00898607075214386,7.247924802555872e-07,3.052039454498612e-09,f26acfd9b578f450d689624c083ee4d7e45e5d3f1d8d632d1399c14db6bf804e
1401,dry-cascade,2,1222,1,0,0,6,6,0.09636387974023819,0.009026065468788147,7.247924802555872e-07,3.052039454498612e-09,6997dc5dec0a33e2c7088c9c837a26994a669ba3bab91cb3a67613dbe27ee1f2
1410,dry-cascade,0,3594,1,0,0,6,11,0.1166231781244278,0.008947253227233887,5.912780762784564e-07,3.052039454498612e-09,5b8d247c097177d21b159ecafb02828cdc7b7a97af9747f74138e3a35b65e28d
1410,dry-cascade,1,2226,1,0,0,6,9,0.11211226880550385,0.008947253227233887,5.912780762784564e-07,3.052039454498612e-09,e061bc3040cb5baac4931f8535871e7765bc1986baa740713fc163b773189bb4
1410,dry-cascade,2,1220,1,0,0,6,6,0.1047692596912384,0.006837248802185059,5.912780762784564e-07,3.052039454498612e-09,d4e7b6e78d00f12f4e3ec453029828ee43d5959d289e8fe4f415eca0767a0e5b
1419,dry-cascade,0,3600,1,0,0,6,9,0.11156944185495377,0.011188670992851257,5.912780762784564e-07,3.052039454498612e-09,0190545b3c7e3c9345ab803799322fc7e422970ed508ebdaec99d4fc8f3c0961
1419,dry-cascade,1,2230,1,0,0,6,10,0.1128486841917038,0.011188670992851257,5.912780762784564e-07,3.052039454498612e-09,c08f4886512bcef6232a205e99937926ed0dcdcfc873a62d71e466a6b99f8ac7
1419,dry-cascade,2,1222,1,0,0,6,5,0.107547327876091,0.011338666081428528,5.912780762784564e-07,3.052039454498612e-09,a11154456f293e5cc4fcb1dae7542cc298b9ef7badb6af4130f26d94150c46c2
1428,dry-cascade,0,3600,1,0,0,6,11,0.10033638775348663,0.019157692790031433,7.247924802555872e-07,3.052039454498612e-09,16da0d9d46753b7707d189ab7527431aadb98595d1384a79014cf5074ec2bbac
1428,dry-cascade,1,2230,1,0,0,6,10,0.10253459960222244,0.019157692790031433,7.247924802555872e-07,3.052039454498612e-09,76e5cc9dbe5fcd1d99319d3b27dd590ac11dd90ecc09a80e3096cfa7537b8cc4
1428,dry-cascade,2,1222,1,0,0,6,6,0.09468530863523483,0.014407694339752197,7.247924802555872e-07,3.052039454498612e-09,64a2fd02de294f9091855af10ea4218e709294b29aa6d49dcd3b352767b0a9cb
1997,moss-islands,0,3598,1,0,0,6,11,0.1035807728767395,0.009614303708076477,1.0681152344815814e-06,3.052039454498612e-09,08ec3be8680ac7733ab5fe0f14a55f75fdf14587277cee6df8a57b947eec9ee5
1997,moss-islands,1,2228,1,0,0,6,10,0.1068066954612732,0.009034305810928345,1.0681152344815814e-06,3.052039454498612e-09,bc352d3b636e4cbc007dfdfbb912f6390ce3cd26c5aab59b0725b9e131989469
1997,moss-islands,2,1222,1,0,0,6,6,0.10424355417490005,0.00999431312084198,1.0681152344815814e-06,3.052039454498612e-09,b184f5197469d506bb6deed6608bdd36850d66018cc6e6ac01e40bac6f26246e
2153,moss-islands,0,3600,1,0,0,6,11,0.10382267832756042,0.011281177401542664,7.247924802555872e-07,3.052039454498612e-09,0b6644158887d50e38be4ec7096475698358a597b9324779359f5ec101686254
2153,moss-islands,1,2230,1,0,0,6,11,0.09819260984659195,0.011281177401542664,7.247924802555872e-07,3.052039454498612e-09,721449676db55ad1154fea30f35864ad381ce9f60e0fc36cd308689638255c69
2153,moss-islands,2,1222,1,0,0,6,6,0.1028832346200943,0.009601175785064697,7.247924802555872e-07,3.052039454498612e-09,932f2a108d2f6ea6eb042abde8d320172dc782aebf29327ee8fb5c9daef2e37b
