00:00.357  blend            | Read blend: "/Users/panglaohu/Downloads/TigerInBamboo/TigerMessenger/assets/models/originals/blender-r3/oldHarbor.blend"
BlenderMCP: cannot start server in background mode (blender -b) - commands would never execute
BlenderMCP: run Blender with a GUI, or use a virtual display: xvfb-run -a blender
BlenderMCP addon registered
INFO Draco is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_draco_bridge.dylib
INFO MeshOptimizer is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_meshopt_bridge.dylib
04:15:47 | INFO: Extracting primitive: n341.001
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: n343.001
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: n345.001
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: n347.001
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: n349.001
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: n351.001
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: n353.001
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: n355.001
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: n357.001
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: n359.001
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: n361.001
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: n363.001
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: n365.001
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: n367.001
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: n369.001
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: n371.001
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: n373.001
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: n375.001
04:15:47 | INFO: Primitives created: 2
04:15:47 | INFO: Extracting primitive: night-lantern-mast.001
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: night-lantern-stern.001
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-blade.026
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-shaft.026
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: oar-blade.027
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-shaft.027
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: oar-blade.028
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-shaft.028
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: oar-blade.029
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-shaft.029
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: oar-blade.030
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-shaft.030
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: oar-blade.031
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-shaft.031
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: oar-blade.032
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-shaft.032
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: oar-blade.033
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-shaft.033
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: oar-blade.034
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-shaft.034
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: oar-blade.035
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-shaft.035
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: oar-blade.036
04:15:47 | INFO: Primitives created: 6
04:15:47 | INFO: Extracting primitive: oar-shaft.036
04:15:47 | INFO: Primitives created: 3
04:15:47 | INFO: Extracting primitive: oar-blade.037
04:15:47 | INFO: Primitives created: 6
